#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Armana no Kiseki (Asia) (Ja) (Kaiser) (KS-7017) (Pirate) (Alt);Armana no Kiseki (Asia) (Ja) (Kaiser) (KS-7017) (Pirate) (Alt);Famicom;;;;;;;;;;;;;;;;;;
Artelius (Japan);Artelius (Japan);Famicom;;;;;;;;;;;;;;;;;;
Asder - 20 in 1 (USA) (Unl);Asder - 20 in 1 (USA) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Asmik-kun Land (Japan);Asmik-kun Land (Japan);Famicom;;;;;;;;;;;;;;;;;;
Assimilate (World) (Aftermarket) (Unl);Assimilate (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Asterix (Europe) (En,Fr,De,Es,It);Asterix (Europe) (En,Fr,De,Es,It);Famicom;;;;;;;;;;;;;;;;;;
Asteroids (USA) (Atari Flashback) (Aftermarket) (Unl);Asteroids (USA) (Atari Flashback) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Astro Fang - Super Machine (Japan);Astro Fang - Super Machine (Japan);Famicom;;;;;;;;;;;;;;;;;;
Astro Ninja Man (Japan) (Aftermarket) (Unl);Astro Ninja Man (Japan) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Astro Robo Sasa (Japan);Astro Robo Sasa (Japan);Famicom;;;;;;;;;;;;;;;;;;
Astro Smash 'n' Blast! (World) (v1.3) (Aftermarket) (Unl);Astro Smash 'n' Blast! (World) (v1.3) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Astrosmash (USA) (Intellivision) (Aftermarket) (Unl);Astrosmash (USA) (Intellivision) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Astyanax (Europe);Astyanax (Europe);Famicom;;;;;;;;;;;;;;;;;;
Atari Flashback (USA) (Aftermarket) (Unl);Atari Flashback (USA) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Athena (Japan);Athena (Japan);Famicom;;;;;;;;;;;;;;;;;;
Athletic World (Europe);Athletic World (Europe);Famicom;;;;;;;;;;;;;;;;;;
Atlantis no Nazo (Japan);Atlantis no Nazo (Japan);Famicom;;;;;;;;;;;;;;;;;;
