#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Brahma Force - The Assault on Beltlogger 9 (USA);Brahma Force - The Assault on Beltlogger 9 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
BrainDead 13 (USA) (Disc 1);BrainDead 13 (USA) (Disc 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
BrainDead 13 (USA) (Disc 2);BrainDead 13 (USA) (Disc 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bratz - Dress Up, Get Down and Be a Bratz Superstar! (USA) (En,Fr,Es);Bratz - Dress Up, Get Down and Be a Bratz Superstar! (USA) (En,Fr,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brave Fencer Musashi (USA);Brave Fencer Musashi (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bravo Air Race (USA);Bravo Air Race (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Breaker Pro Version 1.1 (USA) (Unl);Breaker Pro Version 1.1 (USA) (Unl);Sony PlayStation;;;;;;;;;;;;;;;;;;
Breakout (USA);Breakout (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Breath of Fire III (USA);Breath of Fire III (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Breath of Fire IV (USA) (Beta);Breath of Fire IV (USA) (Beta);Sony PlayStation;;;;;;;;;;;;;;;;;;
Breath of Fire IV (USA);Breath of Fire IV (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brigandine - The Legend of Forsena (USA);Brigandine - The Legend of Forsena (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Broken Helix (USA) (Rev 1);Broken Helix (USA) (Rev 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Broken Helix (USA);Broken Helix (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Broken Sword - The Shadow of the Templars (USA);Broken Sword - The Shadow of the Templars (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Broken Sword II - The Smoking Mirror (USA);Broken Sword II - The Smoking Mirror (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Brunswick Circuit Pro Bowling 2 (USA);Brunswick Circuit Pro Bowling 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bubble Bobble also featuring Rainbow Islands (USA);Bubble Bobble also featuring Rainbow Islands (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bubsy 3D - Furbitten Planet (USA);Bubsy 3D - Furbitten Planet (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bugriders - The Race of Kings (USA);Bugriders - The Race of Kings (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bugs Bunny & Taz - Time Busters (USA) (En,Fr,Es);Bugs Bunny & Taz - Time Busters (USA) (En,Fr,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bugs Bunny - Lost in Time (USA) (En,Fr,Es) (Demo);Bugs Bunny - Lost in Time (USA) (En,Fr,Es) (Demo);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bugs Bunny - Lost in Time (USA) (En,Fr,Es);Bugs Bunny - Lost in Time (USA) (En,Fr,Es);Sony PlayStation;;;;;;;;;;;;;;;;;;
Builder's Block (USA);Builder's Block (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Burning Road (USA) (Demo);Burning Road (USA) (Demo);Sony PlayStation;;;;;;;;;;;;;;;;;;
Burning Road (USA);Burning Road (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
BursTrick - Wake Boarding!! (USA);BursTrick - Wake Boarding!! (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bushido Blade (USA);Bushido Blade (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bushido Blade 2 (USA);Bushido Blade 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust A Groove (USA) (Demo);Bust A Groove (USA) (Demo);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust A Groove (USA);Bust A Groove (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust A Groove 2 (USA);Bust A Groove 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust-A-Move '99 (USA);Bust-A-Move '99 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust-A-Move 2 - Arcade Edition (USA);Bust-A-Move 2 - Arcade Edition (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bust-A-Move 4 (USA);Bust-A-Move 4 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Buster Bros. Collection (USA);Buster Bros. Collection (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
C - The Contra Adventure (USA);C - The Contra Adventure (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
C-12 - Final Resistance (USA);C-12 - Final Resistance (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
CART World Series (USA);CART World Series (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
CTR - Crash Team Racing (USA) (Beta);CTR - Crash Team Racing (USA) (Beta);Sony PlayStation;;;;;;;;;;;;;;;;;;
CTR - Crash Team Racing (USA) (Demo);CTR - Crash Team Racing (USA) (Demo);Sony PlayStation;;;;;;;;;;;;;;;;;;
CTR - Crash Team Racing (USA);CTR - Crash Team Racing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Cabela's Big Game Hunter - Ultimate Challenge (USA);Cabela's Big Game Hunter - Ultimate Challenge (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
