#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Battle Soccer - Field no Hasha (Japan);Battle Soccer - Field no Hasha (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Soccer 2 (Japan);Battle Soccer 2 (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Submarine (Japan);Battle Submarine (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1);Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Zeque Den (Japan);Battle Zeque Den (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
BattleTech (Japan);BattleTech (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
BattleTech 3050 (Japan);BattleTech 3050 (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battletoads in Battlemaniacs (Europe);Battletoads in Battlemaniacs (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Battletoads-Double Dragon (Europe);Battletoads-Double Dragon (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Beauty and the Beast (Europe);Beauty and the Beast (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Beavis and Butt-Head (Europe);Beavis and Butt-Head (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Beethoven - The Ultimate Canine Caper! (Europe);Beethoven - The Ultimate Canine Caper! (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Benkei Gaiden - Suna no Shou (Japan);Benkei Gaiden - Suna no Shou (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Best Shot Pro Golf (Japan);Best Shot Pro Golf (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Best of the Best - Championship Karate (Europe);Best of the Best - Championship Karate (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Big Ichigeki! Pachi-Slot Daikouryaku (Japan);Big Ichigeki! Pachi-Slot Daikouryaku (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan);Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Big Sky Trooper (Europe);Big Sky Trooper (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bijo to Yajuu (Japan);Bijo to Yajuu (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bike Daisuki! Hashiriya Tamashii (Japan);Bike Daisuki! Hashiriya Tamashii (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Biker Mice from Mars (Europe);Biker Mice from Mars (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bill Laimbeer's Combat Basketball (USA);Bill Laimbeer's Combat Basketball (USA);Super Famicom;;;;;;;;;;;;;;;;;;
